model,N,K,A,O,U,K_over_N,A_over_N,O_over_N,U_over_N,A_over_noncorrect
anthropic/claude-3.5-haiku,1214,636,549,29,0,0.5238879736408567,0.45222405271828664,0.023887973640856673,0.0,0.9498269896193772
anthropic/claude-sonnet-4,1546,1246,189,90,21,0.8059508408796895,0.1222509702457956,0.05821474773609314,0.013583441138421734,0.63
google/gemini-2.5-flash,1587,1513,57,17,0,0.9533711405166981,0.035916824196597356,0.010712035286704474,0.0,0.7702702702702703
gpt-4o,1387,1272,99,16,0,0.9170872386445565,0.07137707281903388,0.011535688536409516,0.0,0.8608695652173913
gpt-4o-mini,1317,1266,41,10,0,0.9612756264236902,0.031131359149582385,0.007593014426727411,0.0,0.803921568627451
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,1127,1015,65,30,17,0.9006211180124224,0.05767524401064774,0.026619343389529725,0.015084294587400177,0.5803571428571429
mistralai/Mistral-7B-Instruct-v0.3,1053,398,524,131,0,0.3779677113010446,0.4976258309591643,0.12440645773979107,0.0,0.8
