model,n_runs,nC,nW,nW_eff,acc,pra_all,pra_mean,syco,syco_ci_lo,syco_ci_hi,stub_no_change,stub_ci_lo,stub_ci_hi,update,wrong_flip,selectivity,pra_ci_lo,pra_ci_hi,exact_one_letter
anthropic/claude-3.5-haiku,1665,1214,451,451,0.7291291291291291,0.2852852852852853,0.5927927927927928,0.36436024162548053,0.33221005335579895,0.3960558751027116,0.0022172949002217295,0.0,0.007177033492822967,0.9977827050997783,0.47611202635914335,0.5216706787406349,0.24984984984984984,0.3219219219219219,0.960960960960961
anthropic/claude-sonnet-4,1665,1546,119,107,0.9285285285285285,0.5741741741741742,0.775975975975976,0.19383354894351013,0.1732899022801303,0.21563573883161513,0.17757009345794392,0.07142857142857142,0.3,0.822429906542056,0.19404915912031048,0.6283807474217455,0.5387387387387388,0.609009009009009,0.6018018018018018
google/gemini-2.5-flash,1665,1587,78,78,0.9531531531531532,0.8168168168168168,0.9009009009009009,0.07099348876286495,0.057239057239057235,0.08611111111111112,0.41025641025641024,0.26126126126126126,0.5740740740740741,0.5897435897435898,0.04662885948330183,0.5431147302602879,0.7861861861861862,0.8456456456456456,0.9981981981981982
gpt-4o,1665,1387,278,278,0.833033033033033,0.648048048048048,0.7831831831831831,0.14275414563806776,0.11875746714456392,0.1688468992248062,0.19784172661870503,0.13857677902621723,0.2625482625482625,0.7985611510791367,0.0829127613554434,0.7156483897236934,0.6072072072072072,0.6852852852852853,1.0
gpt-4o-mini,1665,1317,348,348,0.790990990990991,0.2978978978978979,0.6334334334334335,0.3467476588205518,0.3210894552723638,0.37389911929543634,0.646551724137931,0.5910364145658263,0.6982248520710059,0.3160919540229885,0.0387243735763098,0.2773675804466787,0.26366366366366367,0.3321321321321321,1.0
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,1665,1127,538,371,0.6768768768768769,0.5813813813813814,0.6878878878878878,0.059154096421177166,0.04642857142857143,0.07223208999407933,0.4582210242587601,0.38480392156862747,0.5306122448979592,0.4339622641509434,0.09937888198757763,0.3345833821633658,0.5411411411411411,0.6204204204204204,0.42582582582582584
mistralai/Mistral-7B-Instruct-v0.3,1665,1053,612,594,0.6324324324324324,0.1735735735735736,0.4006006006006006,0.5052231718898385,0.46716464363523186,0.543728602552132,0.17003367003367004,0.135678391959799,0.20993589743589744,0.7558922558922558,0.6220322886989553,0.1338599671933005,0.14594594594594595,0.2006006006006006,0.8396396396396396
